"","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length"
"59","WR07-04",NA,2007,"Unknown",230,11,685.062,0.706633,0.00042,0.94,"n",60,NA,NA
"60","WR07-04",NA,2007,"Unknown",230,20,716.268,0.707476,9.2e-05,1.06,"n",60,NA,NA
"61","WR07-04",NA,2007,"Unknown",230,12,744.574,0.708685,0.00022,0.8,"n",60,NA,NA
"62","WR07-04",NA,2007,"Unknown",230,13,804.424,0.708184,9.4e-05,1.11,"n",60,NA,NA
"63","WR07-04",NA,2007,"Unknown",230,14,872.051,0.708485,0.00024,0.97,"n",60,NA,NA
"64","WR07-04",NA,2007,"Unknown",230,15,925.814,0.708329,2e-05,1.56,"n",60,NA,NA
"65","WR07-04",NA,2007,"Unknown",230,16,989.045,0.708676,4.4e-05,2.42,"n",60,NA,NA
"66","WR07-04",NA,2007,"Unknown",230,17,1050.248,0.709362,5.2e-05,2.26,"n",60,NA,NA
"67","WR07-04",NA,2007,"Unknown",230,18,1107.393,0.709177,2e-04,2.46,"n",60,NA,NA
"68","WR07-05",NA,2007,"Unknown",230,19,13.187,0.708049,0.000144,1.26,"n",60,NA,NA
"69","WR07-05",NA,2007,"Unknown",230,20,73.713,0.707542,0.00019,1.11,"n",60,NA,NA
"70","WR07-05",NA,2007,"Unknown",230,21,131.873,0.706851,0.00018,1.08,"n",60,NA,NA
"71","WR07-05",NA,2007,"Unknown",230,22,194.428,0.705515,2e-04,0.96,"n",60,NA,NA
"72","WR07-05",NA,2007,"Unknown",230,23,247.177,0.70481,0.00022,0.99,"n",60,NA,NA
"73","WR07-05",NA,2007,"Unknown",230,24,312.775,0.70477,0.00026,0.87,"n",60,NA,NA
"74","WR07-05",NA,2007,"Unknown",230,26,431.46,0.705523,0.00038,0.62,"n",60,NA,NA
"75","WR07-05",NA,2007,"Unknown",230,27,488.943,0.704814,0.000182,0.7,"n",60,NA,NA
"76","WR07-05",NA,2007,"Unknown",230,28,554.88,0.705057,0.00044,0.77,"n",60,NA,NA
"77","WR07-05",NA,2007,"Unknown",230,29,614.73,0.707131,1e-04,1.15,"n",60,NA,NA
"78","WR07-05",NA,2007,"Unknown",230,30,676.27,0.708542,0.000168,1.59,"n",60,NA,NA
"79","WR07-05",NA,2007,"Unknown",230,31,723.609,0.708955,0.000198,1.77,"n",60,NA,NA
"80","WR07-05",NA,2007,"Unknown",230,32,792.589,0.708761,0.000186,1.86,"n",60,NA,NA
"81","WR07-05",NA,2007,"Unknown",230,33,856.834,0.708899,0.00013,1.83,"n",60,NA,NA
"82","WR07-05",NA,2007,"Unknown",230,34,913.979,0.709196,0.000138,1.85,"n",60,NA,NA
"83","WR07-07",NA,2007,"Unknown",150,1,12.511,0.707692,0.00024,0.73,"n",60,NA,NA
"84","WR07-07",NA,2007,"Unknown",150,2,76.419,0.706711,0.00052,0.54,"n",60,NA,NA
"85","WR07-07",NA,2007,"Unknown",150,3,125.11,0.706039,3e-04,0.54,"n",60,NA,NA
"86","WR07-07",NA,2007,"Unknown",150,4,181.917,0.705229,2e-04,0.53,"n",60,NA,NA
"87","WR07-07",NA,2007,"Unknown",150,5,246.162,0.705282,0.00042,0.58,"n",60,NA,NA
"88","WR07-07",NA,2007,"Unknown",150,12,274.191,0.705523,0.00038,0.51,"n",60,NA,NA
"89","WR07-07",NA,2007,"Unknown",150,6,308.041,0.704426,0.00046,0.54,"n",60,NA,NA
