"","BY","av_flow8.1","broodyr_day"
"1",2004,260.294921252122,163
"2",2005,326.673304121905,156
"3",2006,228.975565094676,167
"4",2012,261.335257587557,154
"5",2013,146.238047246088,226
"6",2014,206.926898411578,158
