"","X","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length","SrV2","SrVpercent","FWExit_dist","Habitat"
"1",1,"WR07-01",NA,2007,"Unknown",245,1,7.101,0.708129,0.00024,1.12,"n",60,NA,NA,NA,NA,707.1218,NA
"2",2,"WR07-01",NA,2007,"Unknown",245,2,54.44,0.70771,0.000196,1,"n",60,NA,NA,NA,NA,707.1218,NA
"3",3,"WR07-01",NA,2007,"Unknown",245,3,114.29,0.706856,0.00011,0.94,"n",60,NA,NA,NA,NA,707.1218,NA
"4",4,"WR07-01",NA,2007,"Unknown",245,4,169.406,0.705834,3e-04,0.98,"n",60,NA,NA,NA,NA,707.1218,NA
"5",5,"WR07-01",NA,2007,"Unknown",245,5,235.004,0.705551,0.00024,0.8,"n",60,NA,NA,NA,NA,707.1218,NA
"6",6,"WR07-01",NA,2007,"Unknown",245,6,289.782,0.704769,2e-04,0.75,"n",60,NA,NA,0.75,0.163793103448276,707.1218,"SAC"
"7",7,"WR07-01",NA,2007,"Unknown",245,7,350.61,0.705056,0.00034,0.71,"n",60,NA,NA,0.71,0.129310344827586,707.1218,"SAC"
"8",8,"WR07-01",NA,2007,"Unknown",245,15,357.747,0.704569,0.00019,0.67,"n",60,NA,NA,0.67,0.0948275862068965,707.1218,"LAS"
"9",9,"WR07-01",NA,2007,"Unknown",245,8,412.863,0.704417,3e-04,0.65,"n",60,NA,NA,0.65,0.0775862068965517,707.1218,"LAS"
"10",10,"WR07-01",NA,2007,"Unknown",245,9,476.432,0.704432,0.000178,0.63,"n",60,NA,NA,0.63,0.0603448275862069,707.1218,"LAS"
"11",11,"WR07-01",NA,2007,"Unknown",245,10,532.225,0.704658,0.00044,0.59,"n",60,NA,NA,0.59,0.0258620689655172,707.1218,"LAS"
"12",12,"WR07-01",NA,2007,"Unknown",245,11,597.147,0.704807,0.00038,0.57,"n",60,NA,NA,0.57,0.00862068965517233,707.1218,"SAC"
"13",13,"WR07-01",NA,2007,"Unknown",245,16,613.603,0.70491,0.00022,0.56,"n",60,NA,NA,0.56,0,707.1218,"SAC"
"14",14,"WR07-01",NA,2007,"Unknown",245,12,660.716,0.705605,2e-04,0.62,"n",60,NA,NA,0.62,0.0517241379310344,707.1218,"SAC"
"15",15,"WR07-01",NA,2007,"Unknown",245,17,679.007,0.706589,0.00026,0.62,"n",60,NA,NA,0.62,0.0517241379310344,707.1218,"DEL"
"16",16,"WR07-01",NA,2007,"Unknown",245,13,722.595,0.708544,0.000154,1.41,"n",60,NA,NA,1.41,0.732758620689655,707.1218,NA
"17",17,"WR07-01",NA,2007,"Unknown",245,14,784.474,0.709074,0.000158,1.72,"n",60,NA,NA,1.72,1,707.1218,NA
"18",18,"WR07-02",NA,2007,"Unknown",230,19,30.793,0.70757,2e-04,1.05,"n",60,NA,NA,NA,NA,772.907285714285,NA
"19",19,"WR07-02",NA,2007,"Unknown",230,20,90.793,0.707121,0.00026,0.9,"n",60,NA,NA,NA,NA,772.907285714285,NA
"20",20,"WR07-02",NA,2007,"Unknown",230,21,150.793,0.706338,0.00036,0.83,"n",60,NA,NA,NA,NA,772.907285714285,NA
"21",21,"WR07-02",NA,2007,"Unknown",230,22,210.793,0.706323,0.000112,0.96,"n",60,NA,NA,NA,NA,772.907285714285,NA
"22",22,"WR07-02",NA,2007,"Unknown",230,23,270.793,0.705007,0.000182,0.98,"n",60,NA,NA,0.98,0.0828402366863905,772.907285714285,"SAC"
"23",23,"WR07-02",NA,2007,"Unknown",230,24,330.793,0.704945,3.4e-05,0.95,"n",60,NA,NA,0.95,0.0650887573964497,772.907285714285,"SAC"
"24",24,"WR07-02",NA,2007,"Unknown",230,25,390.793,0.704886,6e-04,0.86,"n",60,NA,NA,0.86,0.0118343195266272,772.907285714285,"SAC"
"25",25,"WR07-02",NA,2007,"Unknown",230,27,510.793,0.705199,0.00016,0.84,"n",60,NA,NA,0.84,0,772.907285714285,"SAC"
"26",26,"WR07-02",NA,2007,"Unknown",230,28,570.793,0.707603,0.00038,1.04,"n",60,NA,NA,1.04,0.118343195266272,772.907285714285,"AME"
"27",27,"WR07-02",NA,2007,"Unknown",230,29,630.793,0.708917,0.00086,0.98,"n",60,NA,NA,0.98,0.0828402366863905,772.907285714285,"AME"
"28",28,"WR07-02",NA,2007,"Unknown",230,30,690.793,0.708635,0.00054,0.96,"n",60,NA,NA,0.96,0.0710059171597633,772.907285714285,"AME"
"29",29,"WR07-02",NA,2007,"Unknown",230,31,750.793,0.708574,0.000184,1.62,"n",60,NA,NA,1.62,0.461538461538462,772.907285714285,"AME"
"30",30,"WR07-02",NA,2007,"Unknown",230,32,810.793,0.708968,0.00022,2.53,"n",60,NA,NA,2.53,1,772.907285714285,NA
"31",31,"WR07-02",NA,2007,"Unknown",230,33,870.793,0.709112,7.6e-05,2.39,"n",60,NA,NA,2.39,0.91715976331361,772.907285714285,NA
"32",32,"WR07-03",NA,2007,"Unknown",230,2,60,0.707338,0.00026,0.86,"n",60,NA,NA,NA,NA,586.6507,NA
"33",33,"WR07-03",NA,2007,"Unknown",230,3,120,0.706476,0.000198,0.81,"n",60,NA,NA,NA,NA,586.6507,NA
"34",34,"WR07-03",NA,2007,"Unknown",230,4,180,0.706001,0.000178,0.84,"n",60,NA,NA,NA,NA,586.6507,NA
"35",35,"WR07-03",NA,2007,"Unknown",230,5,240,0.705095,0.000186,0.89,"n",60,NA,NA,0.89,0.228571428571429,586.6507,"SAC"
"36",36,"WR07-03",NA,2007,"Unknown",230,6,300,0.705236,0.00022,0.81,"n",60,NA,NA,0.81,0.152380952380952,586.6507,"SAC"
"37",37,"WR07-03",NA,2007,"Unknown",230,7,360,0.705405,3e-04,0.65,"n",60,NA,NA,0.65,0,586.6507,"SAC"
"38",38,"WR07-03",NA,2007,"Unknown",230,14,390,0.705819,0.00026,0.73,"n",60,NA,NA,0.73,0.0761904761904762,586.6507,"SAC"
"39",39,"WR07-03",NA,2007,"Unknown",230,8,420,0.706221,0.00026,0.67,"n",60,NA,NA,0.67,0.0190476190476191,586.6507,"DEL"
"40",40,"WR07-03",NA,2007,"Unknown",230,15,450,0.707376,0.00026,0.65,"n",60,NA,NA,0.65,0,586.6507,"DEL"
"41",41,"WR07-03",NA,2007,"Unknown",230,9,480,0.707183,0.00036,0.68,"n",60,NA,NA,0.68,0.0285714285714286,586.6507,"DEL"
"42",42,"WR07-03",NA,2007,"Unknown",230,17,510,0.707365,0.000176,1.17,"n",60,NA,NA,1.17,0.495238095238095,586.6507,"DEL"
"43",43,"WR07-03",NA,2007,"Unknown",230,10,540,0.707424,0.00028,0.72,"n",60,NA,NA,0.72,0.0666666666666666,586.6507,"DEL"
"44",44,"WR07-03",NA,2007,"Unknown",230,16,570,0.707502,0.00026,0.88,"n",60,NA,NA,0.88,0.219047619047619,586.6507,"DEL"
"45",45,"WR07-03",NA,2007,"Unknown",230,11,600,0.708129,0.00028,1.2,"n",60,NA,NA,1.2,0.523809523809524,586.6507,NA
"46",46,"WR07-03",NA,2007,"Unknown",230,12,660,0.708948,0.00015,1.55,"n",60,NA,NA,1.55,0.857142857142857,586.6507,NA
"47",47,"WR07-03",NA,2007,"Unknown",230,13,720,0.709189,0.000112,1.7,"n",60,NA,NA,1.7,1,586.6507,NA
"48",48,"WR07-04",NA,2007,"Unknown",230,1,76.08,0.707258,0.00034,0.91,"n",60,NA,NA,NA,NA,949.988828837209,NA
"49",49,"WR07-04",NA,2007,"Unknown",230,2,144.384,0.706828,0.00022,0.84,"n",60,NA,NA,NA,NA,949.988828837209,NA
"50",50,"WR07-04",NA,2007,"Unknown",230,3,202.543,0.705978,0.00024,0.83,"n",60,NA,NA,NA,NA,949.988828837209,NA
"51",51,"WR07-04",NA,2007,"Unknown",230,4,261.04,0.705324,0.000132,0.85,"n",60,NA,NA,0.85,0.0416666666666666,949.988828837209,"SAC"
"52",52,"WR07-04",NA,2007,"Unknown",230,5,328.329,0.705134,0.000146,1.11,"n",60,NA,NA,1.11,0.196428571428571,949.988828837209,"SAC"
"53",53,"WR07-04",NA,2007,"Unknown",230,6,385.812,0.705513,0.00048,1.11,"n",60,NA,NA,1.11,0.196428571428571,949.988828837209,"SAC"
"54",54,"WR07-04",NA,2007,"Unknown",230,7,449.72,0.705348,0.00024,1.06,"n",60,NA,NA,1.06,0.166666666666667,949.988828837209,"SAC"
"55",55,"WR07-04",NA,2007,"Unknown",230,8,513.627,0.705011,8.6e-05,0.96,"n",60,NA,NA,0.96,0.107142857142857,949.988828837209,"SAC"
"56",56,"WR07-04",NA,2007,"Unknown",230,9,568.405,0.705134,0.00024,0.9,"n",60,NA,NA,0.9,0.0714285714285714,949.988828837209,"SAC"
"57",57,"WR07-04",NA,2007,"Unknown",230,10,627.579,0.705293,5e-04,0.78,"n",60,NA,NA,0.78,0,949.988828837209,"SAC"
"58",58,"WR07-04",NA,2007,"Unknown",230,19,654.677,0.705279,0.00042,1.09,"n",60,NA,NA,1.09,0.18452380952381,949.988828837209,"SAC"
"59",59,"WR07-04",NA,2007,"Unknown",230,11,685.062,0.706633,0.00042,0.94,"n",60,NA,NA,0.94,0.0952380952380952,949.988828837209,"AME"
"60",60,"WR07-04",NA,2007,"Unknown",230,20,716.268,0.707476,9.2e-05,1.06,"n",60,NA,NA,1.06,0.166666666666667,949.988828837209,"AME"
"61",61,"WR07-04",NA,2007,"Unknown",230,12,744.574,0.708685,0.00022,0.8,"n",60,NA,NA,0.8,0.0119047619047619,949.988828837209,"AME"
"62",62,"WR07-04",NA,2007,"Unknown",230,13,804.424,0.708184,9.4e-05,1.11,"n",60,NA,NA,1.11,0.196428571428571,949.988828837209,"AME"
"63",63,"WR07-04",NA,2007,"Unknown",230,14,872.051,0.708485,0.00024,0.97,"n",60,NA,NA,0.97,0.113095238095238,949.988828837209,"AME"
"64",64,"WR07-04",NA,2007,"Unknown",230,15,925.814,0.708329,2e-05,1.56,"n",60,NA,NA,1.56,0.464285714285714,949.988828837209,"AME"
"65",65,"WR07-04",NA,2007,"Unknown",230,16,989.045,0.708676,4.4e-05,2.42,"n",60,NA,NA,2.42,0.976190476190476,949.988828837209,NA
"66",66,"WR07-04",NA,2007,"Unknown",230,17,1050.248,0.709362,5.2e-05,2.26,"n",60,NA,NA,2.26,0.880952380952381,949.988828837209,NA
"67",67,"WR07-04",NA,2007,"Unknown",230,18,1107.393,0.709177,2e-04,2.46,"n",60,NA,NA,2.46,1,949.988828837209,NA
"68",68,"WR07-05",NA,2007,"Unknown",230,19,13.187,0.708049,0.000144,1.26,"n",60,NA,NA,NA,NA,646.0888,NA
"69",69,"WR07-05",NA,2007,"Unknown",230,20,73.713,0.707542,0.00019,1.11,"n",60,NA,NA,NA,NA,646.0888,NA
"70",70,"WR07-05",NA,2007,"Unknown",230,21,131.873,0.706851,0.00018,1.08,"n",60,NA,NA,NA,NA,646.0888,NA
"71",71,"WR07-05",NA,2007,"Unknown",230,22,194.428,0.705515,2e-04,0.96,"n",60,NA,NA,NA,NA,646.0888,NA
"72",72,"WR07-05",NA,2007,"Unknown",230,23,247.177,0.70481,0.00022,0.99,"n",60,NA,NA,0.99,0.298387096774194,646.0888,"SAC"
"73",73,"WR07-05",NA,2007,"Unknown",230,24,312.775,0.70477,0.00026,0.87,"n",60,NA,NA,0.87,0.201612903225806,646.0888,"SAC"
"74",74,"WR07-05",NA,2007,"Unknown",230,26,431.46,0.705523,0.00038,0.62,"n",60,NA,NA,0.62,0,646.0888,"Unassigned"
"75",75,"WR07-05",NA,2007,"Unknown",230,27,488.943,0.704814,0.000182,0.7,"n",60,NA,NA,0.7,0.064516129032258,646.0888,"SAC"
"76",76,"WR07-05",NA,2007,"Unknown",230,28,554.88,0.705057,0.00044,0.77,"n",60,NA,NA,0.77,0.120967741935484,646.0888,"SAC"
"77",77,"WR07-05",NA,2007,"Unknown",230,29,614.73,0.707131,1e-04,1.15,"n",60,NA,NA,1.15,0.42741935483871,646.0888,"DEL"
"78",78,"WR07-05",NA,2007,"Unknown",230,30,676.27,0.708542,0.000168,1.59,"n",60,NA,NA,1.59,0.782258064516129,646.0888,NA
"79",79,"WR07-05",NA,2007,"Unknown",230,31,723.609,0.708955,0.000198,1.77,"n",60,NA,NA,1.77,0.927419354838709,646.0888,NA
"80",80,"WR07-05",NA,2007,"Unknown",230,32,792.589,0.708761,0.000186,1.86,"n",60,NA,NA,1.86,1,646.0888,NA
"81",81,"WR07-05",NA,2007,"Unknown",230,33,856.834,0.708899,0.00013,1.83,"n",60,NA,NA,1.83,0.975806451612903,646.0888,NA
"82",82,"WR07-05",NA,2007,"Unknown",230,34,913.979,0.709196,0.000138,1.85,"n",60,NA,NA,1.85,0.991935483870968,646.0888,NA
"83",83,"WR07-07",NA,2007,"Unknown",150,1,12.511,0.707692,0.00024,0.73,"n",60,NA,NA,NA,NA,539.0462,NA
"84",84,"WR07-07",NA,2007,"Unknown",150,2,76.419,0.706711,0.00052,0.54,"n",60,NA,NA,NA,NA,539.0462,NA
"85",85,"WR07-07",NA,2007,"Unknown",150,3,125.11,0.706039,3e-04,0.54,"n",60,NA,NA,NA,NA,539.0462,NA
"86",86,"WR07-07",NA,2007,"Unknown",150,4,181.917,0.705229,2e-04,0.53,"n",60,NA,NA,0.53,0.0126916949802306,539.0462,"SAC"
"87",87,"WR07-07",NA,2007,"Unknown",150,5,246.162,0.705282,0.00042,0.58,"n",60,NA,NA,0.58,0.0444209324308069,539.0462,"SAC"
"88",88,"WR07-07",NA,2007,"Unknown",150,12,274.191,0.705523,0.00038,0.51,"n",60,NA,NA,0.51,0,539.0462,"SAC"
"89",89,"WR07-07",NA,2007,"Unknown",150,6,308.041,0.704426,0.00046,0.54,"n",60,NA,NA,0.54,0.0190375424703458,539.0462,"LAS"
"90",90,"WR07-07",NA,2007,"Unknown",150,8,432.813,0.705544,0.00024,0.51,"n",60,NA,NA,0.51,0,539.0462,"SAC"
"91",91,"WR07-07",NA,2007,"Unknown",150,9,499.764,0.70724,0.00034,0.61,"n",60,NA,NA,0.61,0.0634584749011528,539.0462,"DEL"
"92",92,"WR07-07",NA,2007,"Unknown",150,11,607.629,0.708915,0.00046,0.52,"n",60,NA,NA,0.52,0.00634584749011528,539.0462,NA
"93",93,"WR07-07",NA,2007,"Unknown",150,15,647.629,0.708539335,0.000203134,2.085833648,"n",40,NA,NA,2.085833648,1,539.0462,NA
"94",94,"WR07-07",NA,2007,"Unknown",150,16,687.629,0.708846252,0.000199606,2.000249022,"n",40,NA,NA,2.000249022,0.945689301590545,539.0462,NA
"95",95,"WR07-08",NA,2007,"Unknown",230,2,60,0.707027,0.00044,0.53,"n",60,NA,NA,NA,NA,640.3474,NA
"96",96,"WR07-08",NA,2007,"Unknown",230,3,120,0.705675,0.00062,0.675,"n",60,NA,NA,NA,NA,640.3474,NA
"97",97,"WR07-08",NA,2007,"Unknown",230,9,120,0.705675,0.00022,0.82,"n",60,NA,NA,NA,NA,640.3474,NA
"98",98,"WR07-08",NA,2007,"Unknown",230,4,180,0.705697,4e-04,0.84,"n",60,NA,NA,NA,NA,640.3474,NA
"99",99,"WR07-08",NA,2007,"Unknown",230,10,180,0.705697,0.00026,0.86,"n",60,NA,NA,NA,NA,640.3474,NA
"100",100,"WR07-08",NA,2007,"Unknown",230,5,240,0.705154,0.00026,0.895,"n",60,NA,NA,0.895,0.0961538461538462,640.3474,"SAC"
"101",101,"WR07-08",NA,2007,"Unknown",230,11,240,0.705154,0.000144,0.93,"n",60,NA,NA,0.93,0.123076923076923,640.3474,"SAC"
"102",102,"WR07-08",NA,2007,"Unknown",230,6,300,0.704478,0.00028,0.86,"n",60,NA,NA,0.86,0.0692307692307692,640.3474,"LAS"
"103",103,"WR07-08",NA,2007,"Unknown",230,12,300,0.704478,0.00028,0.79,"n",60,NA,NA,0.79,0.0153846153846154,640.3474,"LAS"
"104",104,"WR07-08",NA,2007,"Unknown",230,7,360,0.704822,0.00052,0.78,"n",60,NA,NA,0.78,0.0076923076923077,640.3474,"SAC"
"105",105,"WR07-08",NA,2007,"Unknown",230,13,360,0.704822,0.00028,0.77,"n",60,NA,NA,0.77,0,640.3474,"SAC"
"106",106,"WR07-08",NA,2007,"Unknown",230,21,390,0.704027,0.00022,1.09,"n",60,NA,NA,1.09,0.246153846153846,640.3474,"LAS"
"107",107,"WR07-08",NA,2007,"Unknown",230,8,420,0.7045865,0.00036,0.945,"n",60,NA,NA,0.945,0.134615384615385,640.3474,"LAS"
"108",108,"WR07-08",NA,2007,"Unknown",230,14,420,0.7045865,0.00026,0.8,"n",60,NA,NA,0.8,0.0230769230769231,640.3474,"LAS"
"109",109,"WR07-08",NA,2007,"Unknown",230,15,480,0.703969,2e-04,0.93,"n",60,NA,NA,0.93,0.123076923076923,640.3474,"LAS"
"110",110,"WR07-08",NA,2007,"Unknown",230,22,510,0.705779,0.000192,1.44,"n",60,NA,NA,1.44,0.515384615384615,640.3474,"SAC"
"111",111,"WR07-08",NA,2007,"Unknown",230,16,540,0.704791,0.00022,1,"n",60,NA,NA,1,0.176923076923077,640.3474,"SAC"
"112",112,"WR07-08",NA,2007,"Unknown",230,17,600,0.707037,0.000192,1.37,"n",60,NA,NA,1.37,0.461538461538462,640.3474,"DEL"
"113",113,"WR07-08",NA,2007,"Unknown",230,18,660,0.708246,0.000178,2.07,"n",60,NA,NA,2.07,1,640.3474,NA
"114",114,"WR07-08",NA,2007,"Unknown",230,19,720,0.708813,0.00014,2.02,"n",60,NA,NA,2.02,0.961538461538462,640.3474,NA
"115",115,"WR07-08",NA,2007,"Unknown",230,20,780,0.709074,0.00022,2.04,"n",60,NA,NA,2.04,0.976923076923077,640.3474,NA
"116",116,"WR07-09",NA,2007,"Unknown",230,2,60,0.705982,0.00048,0.67,"n",60,NA,NA,NA,NA,699.4255,NA
"117",117,"WR07-09",NA,2007,"Unknown",230,3,120,0.706908,0.00028,0.67,"n",60,NA,NA,NA,NA,699.4255,NA
"118",118,"WR07-09",NA,2007,"Unknown",230,4,180,0.705933,0.00028,0.77,"n",60,NA,NA,NA,NA,699.4255,NA
"119",119,"WR07-09",NA,2007,"Unknown",230,5,240,0.705243,0.00032,0.75,"n",60,NA,NA,0.75,0.0909090909090909,699.4255,"SAC"
"120",120,"WR07-09",NA,2007,"Unknown",230,6,300,0.704784,0.00032,0.7,"n",60,NA,NA,0.7,0.0495867768595041,699.4255,"SAC"
"121",121,"WR07-09",NA,2007,"Unknown",230,7,360,0.704734,0.00034,0.65,"n",60,NA,NA,0.65,0.00826446280991736,699.4255,"SAC"
"122",122,"WR07-09",NA,2007,"Unknown",230,8,420,0.705145,0.00026,0.64,"n",60,NA,NA,0.64,0,699.4255,"SAC"
"123",123,"WR07-09",NA,2007,"Unknown",230,19,450,0.705131,0.00026,0.66,"n",60,NA,NA,0.66,0.0165289256198347,699.4255,"SAC"
"124",124,"WR07-09",NA,2007,"Unknown",230,9,480,0.705757,0.000192,0.74,"n",60,NA,NA,0.74,0.0826446280991735,699.4255,"Unassigned"
"125",125,"WR07-09",NA,2007,"Unknown",230,20,510,0.705094,6.4e-05,0.77,"n",60,NA,NA,0.77,0.107438016528926,699.4255,"SAC"
"126",126,"WR07-09",NA,2007,"Unknown",230,10,540,0.705275,0.00036,0.7,"n",60,NA,NA,0.7,0.0495867768595041,699.4255,"SAC"
"127",127,"WR07-09",NA,2007,"Unknown",230,11,600,0.70532,0.00022,0.82,"n",60,NA,NA,0.82,0.148760330578512,699.4255,"SAC"
"128",128,"WR07-09",NA,2007,"Unknown",230,12,660,0.705758,0.00024,0.83,"n",60,NA,NA,0.83,0.15702479338843,699.4255,"SAC"
"129",129,"WR07-09",NA,2007,"Unknown",230,21,690,0.7075,0.000104,1.35,"n",60,NA,NA,1.35,0.586776859504132,699.4255,"DEL"
"130",130,"WR07-09",NA,2007,"Unknown",230,13,720,0.708614,0.000126,1.44,"n",60,NA,NA,1.44,0.661157024793388,699.4255,NA
"131",131,"WR07-09",NA,2007,"Unknown",230,14,780,0.708859,0.00011,1.65,"n",60,NA,NA,1.65,0.834710743801653,699.4255,NA
"132",132,"WR07-09",NA,2007,"Unknown",230,15,840,0.708958,0.000174,1.79,"n",60,NA,NA,1.79,0.950413223140496,699.4255,NA
"133",133,"WR07-09",NA,2007,"Unknown",230,16,900,0.70886,0.00024,1.77,"n",60,NA,NA,1.77,0.933884297520661,699.4255,NA
"134",134,"WR07-09",NA,2007,"Unknown",230,17,960,0.708942,0.00017,1.62,"n",60,NA,NA,1.62,0.809917355371901,699.4255,NA
"135",135,"WR07-09",NA,2007,"Unknown",230,18,1020,0.709002,0.00026,1.85,"n",60,NA,NA,1.85,1,699.4255,NA
"136",136,"WR07-10",NA,2007,"Unknown",230,1,64.584,0.707672,0.00026,1.24,"n",80,NA,NA,NA,NA,691.9439,NA
"137",137,"WR07-10",NA,2007,"Unknown",230,2,119.024,0.707795,0.00044,1.25,"n",80,NA,NA,NA,NA,691.9439,NA
"138",138,"WR07-10",NA,2007,"Unknown",230,3,175.83,0.705982,2.6e-05,1.31,"n",80,NA,NA,NA,NA,691.9439,NA
"139",139,"WR07-10",NA,2007,"Unknown",230,4,233.651,0.705265,0.00038,1.34,"n",80,NA,NA,1.34,0.226027397260274,691.9439,"SAC"
"140",140,"WR07-10",NA,2007,"Unknown",230,5,288.767,0.705473,0.000174,1.25,"n",80,NA,NA,1.25,0.164383561643836,691.9439,"SAC"
"141",141,"WR07-10",NA,2007,"Unknown",230,15,353.013,0.704946,0.000192,1.39,"n",80,NA,NA,1.39,0.26027397260274,691.9439,"SAC"
"142",142,"WR07-10",NA,2007,"Unknown",230,7,411.172,0.70524,0.00038,1.01,"n",80,NA,NA,1.01,0,691.9439,"SAC"
"143",143,"WR07-10",NA,2007,"Unknown",230,8,482.857,0.705748,0.000108,1.09,"n",80,NA,NA,1.09,0.0547945205479452,691.9439,"SAC"
"144",144,"WR07-10",NA,2007,"Unknown",230,9,559.614,0.70564,0.00024,1.22,"n",80,NA,NA,1.22,0.143835616438356,691.9439,"SAC"
"145",145,"WR07-10",NA,2007,"Unknown",230,10,617.097,0.705855,9.8e-05,1.44,"n",80,NA,NA,1.44,0.294520547945205,691.9439,"SAC"
"146",146,"WR07-10",NA,2007,"Unknown",230,11,680.328,0.707615,0.00028,1.61,"n",80,NA,NA,1.61,0.410958904109589,691.9439,"DEL"
"147",147,"WR07-10",NA,2007,"Unknown",230,12,733.415,0.708689,0.00036,2.33,"n",80,NA,NA,2.33,0.904109589041096,691.9439,NA
"148",148,"WR07-10",NA,2007,"Unknown",230,13,788.193,0.709004,0.00034,2.47,"n",80,NA,NA,2.47,1,691.9439,NA
"149",149,"WR07-10",NA,2007,"Unknown",230,14,841.28,0.709097,0.000142,2.29,"n",80,NA,NA,2.29,0.876712328767123,691.9439,NA
"150",150,"WR07-11",NA,2007,"Unknown",230,1,10.482,0.707319,0.00022,1.03,"n",80,NA,NA,NA,NA,630.0949,NA
"151",151,"WR07-11",NA,2007,"Unknown",230,2,72.361,0.707297,0.00028,0.98,"n",80,NA,NA,NA,NA,630.0949,NA
"152",152,"WR07-11",NA,2007,"Unknown",230,3,130.858,0.706757,0.00026,0.95,"n",80,NA,NA,NA,NA,630.0949,NA
"153",153,"WR07-11",NA,2007,"Unknown",230,4,194.766,0.70574,0.00022,0.83,"n",80,NA,NA,NA,NA,630.0949,NA
"154",154,"WR07-11",NA,2007,"Unknown",230,16,222.45,0.705425,0.000168,1.02,"n",80,NA,NA,NA,NA,630.0949,NA
"155",155,"WR07-11",NA,2007,"Unknown",230,5,255.63,0.705032,0.00022,1.01,"n",80,NA,NA,1.01,0.0769230769230769,630.0949,"SAC"
"156",156,"WR07-11",NA,2007,"Unknown",230,6,315.818,0.705046,0.000184,0.9,"n",80,NA,NA,0.9,0,630.0949,"SAC"
"157",157,"WR07-11",NA,2007,"Unknown",230,7,377.359,0.705171,0.000196,1.2,"n",80,NA,NA,1.2,0.20979020979021,630.0949,"SAC"
"158",158,"WR07-11",NA,2007,"Unknown",230,17,390.959,0.705087,0.00019,1.12,"n",80,NA,NA,1.12,0.153846153846154,630.0949,"SAC"
"159",159,"WR07-11",NA,2007,"Unknown",230,8,427.741,0.704594,0.000182,1,"n",80,NA,NA,1,0.0699300699300699,630.0949,"LAS"
"160",160,"WR07-11",NA,2007,"Unknown",230,9,486.238,0.704713,0.000184,1.14,"n",80,NA,NA,1.14,0.167832167832168,630.0949,"SAC"
"161",161,"WR07-11",NA,2007,"Unknown",230,10,539.326,0.70485,0.000198,1.08,"n",80,NA,NA,1.08,0.125874125874126,630.0949,"SAC"
"162",162,"WR07-11",NA,2007,"Unknown",230,18,556.016,0.705798,0.00024,1.19,"n",80,NA,NA,1.19,0.202797202797203,630.0949,"SAC"
"163",163,"WR07-11",NA,2007,"Unknown",230,11,597.823,0.706965,0.00022,1.69,"n",80,NA,NA,1.69,0.552447552447552,630.0949,"DEL"
"164",164,"WR07-11",NA,2007,"Unknown",230,12,661.054,0.708699,0.000162,1.88,"n",80,NA,NA,1.88,0.685314685314685,630.0949,NA
"165",165,"WR07-11",NA,2007,"Unknown",230,13,722.257,0.708967,9.2e-05,1.97,"n",80,NA,NA,1.97,0.748251748251748,630.0949,NA
"166",166,"WR07-11",NA,2007,"Unknown",230,14,789.207,0.708916,1e-04,2.26,"n",80,NA,NA,2.26,0.951048951048951,630.0949,NA
"167",167,"WR07-11",NA,2007,"Unknown",230,15,849.395,0.709113,0.000118,2.33,"n",80,NA,NA,2.33,1,630.0949,NA
"168",168,"WR07-12",NA,2007,"Unknown",350,1,45.986,0.707708,3e-04,0.86,"n",60,NA,NA,NA,NA,677.1208,NA
"169",169,"WR07-12",NA,2007,"Unknown",350,2,113.952,0.707116,0.00038,0.71,"n",60,NA,NA,NA,NA,677.1208,NA
"170",170,"WR07-12",NA,2007,"Unknown",350,3,170.758,0.706734,0.000122,0.9,"n",60,NA,NA,NA,NA,677.1208,NA
"171",171,"WR07-12",NA,2007,"Unknown",350,4,220.464,0.705478,2e-04,1.17,"n",60,NA,NA,NA,NA,677.1208,NA
"172",172,"WR07-12",NA,2007,"Unknown",350,5,273.889,0.705721,4.8e-05,0.99,"n",60,NA,NA,NA,NA,677.1208,NA
"173",173,"WR07-12",NA,2007,"Unknown",350,6,331.711,0.705661,0.00028,0.79,"n",60,NA,NA,NA,NA,677.1208,NA
"174",174,"WR07-12",NA,2007,"Unknown",350,15,365.911,0.704972,2e-04,0.85,"n",60,NA,NA,0.85,0.182481751824818,677.1208,"SAC"
"175",175,"WR07-12",NA,2007,"Unknown",350,7,385.136,0.70488,0.00034,0.85,"n",60,NA,NA,0.85,0.182481751824818,677.1208,"SAC"
"176",176,"WR07-12",NA,2007,"Unknown",350,16,422.509,0.705427,0.000178,0.96,"n",60,NA,NA,0.96,0.262773722627737,677.1208,"SAC"
"177",177,"WR07-12",NA,2007,"Unknown",350,8,439.238,0.705382,0.000168,0.85,"n",60,NA,NA,0.85,0.182481751824818,677.1208,"SAC"
"178",178,"WR07-12",NA,2007,"Unknown",350,17,475.661,0.704699,0.00036,0.76,"n",60,NA,NA,0.76,0.116788321167883,677.1208,"SAC"
"179",179,"WR07-12",NA,2007,"Unknown",350,9,496.382,0.704495,0.00028,0.77,"n",60,NA,NA,0.77,0.124087591240876,677.1208,"LAS"
"180",180,"WR07-12",NA,2007,"Unknown",350,18,537.783,0.704518,0.00032,0.83,"n",60,NA,NA,0.83,0.167883211678832,677.1208,"LAS"
"181",181,"WR07-12",NA,2007,"Unknown",350,10,543.306,0.706106,0.000102,0.83,"n",60,NA,NA,0.83,0.167883211678832,677.1208,"Unassigned"
