"","Escap_yr","Sample_ID","Brood_year","DEL","LAS","SAC","AME","Unassigned"
"1",2007,"WR07-01",2004,0.217961073258226,0.427820403238462,0.354218523503312,0,0
"2",2007,"WR07-02",2004,0,0,0.250697145566959,0.749302854433041,0
"3",2007,"WR07-03",2004,0.766766471239933,0,0.233233528760067,0,0
"4",2007,"WR07-04",2004,0,0,0.241659958626167,0.758340041373833,0
"5",2007,"WR07-05",2004,0.311792777245843,0,0.575691491487163,0,0.112515731266994
"6",2007,"WR07-06",2004,0,0.144435524333274,0.855564475666726,0,0
"7",2007,"WR07-07",2004,0.530848221186837,0.201229063027014,0.267922715786149,0,0
"8",2007,"WR07-08",2004,0.311392119148419,0.295438499650968,0.393169381200613,0,0
"9",2007,"WR07-09",2004,0.152165550327331,0,0.791577680742114,0,0.0562567689305548
"10",2007,"WR07-10",2004,0.252427235868633,0,0.747572764131367,0,0
"11",2007,"WR07-11",2004,0.327286070911005,0.123116545455109,0.549597383633886,0,0
"12",2007,"WR07-12",2004,0.162415116577032,0.295618927830209,0.50308357307356,0,0.0388823825191996
"13",2007,"WR07-13",2004,0.186078813714644,0,0.813921186285356,0,0
"14",2007,"WR07-14",2004,0.07968690385067,0.608424194207084,0.30197311032118,0,0.00991579162106608
"15",2007,"WR07-15",2004,0,0,0.190347575928967,0.588781643699219,0.220870780371814
"16",2007,"WR07-16",2004,0,0.829320079265055,0.170679920734945,0,0
"17",2007,"WR07-17",2004,0.174722923378259,0.255111375832152,0.570165700789589,0,0
"18",2007,"WR07-18",2004,0,0,1,0,0
"19",2007,"WR07-19",2004,0.213168076867923,0.214612347464868,0.57221957566721,0,0
"20",2007,"WR07-20",2004,0,0,1,0,0
"21",2007,"WR07-21",2004,0,0,0.227586024985155,0.772413975014845,0
"22",2007,"WR07-23",2004,0,0.132466854180217,0.867533145819783,0,0
"23",2007,"WR07-24",2004,0,0,1,0,0
"24",2007,"WR07-25",2004,0.583978889149822,0,0.416021110850178,0,0
"25",2007,"WR07-26",2004,0.130153625330313,0,0.869846374669687,0,0
"26",2007,"WR07-27",2004,0.253746755423108,0,0.746253244576892,0,0
"27",2007,"WR07-28",2004,0,0,1,0,0
"28",2007,"WR07-29",2004,0.164565961043953,0,0.835434038956047,0,0
"29",2007,"WR07-30",2004,0.179538444305249,0,0.820461555694751,0,0
"30",2008,"WR08-01",2005,0,0.0415829861247475,0.0611680610747333,0.897248952800519,0
"31",2008,"WR08-03",2005,0,0,1,0,0
"32",2008,"WR08-04",2005,0.674141565146715,0,0.325858434853285,0,0
"33",2008,"WR08-05",2005,0.242822026061558,0.567846179049904,0.189331794888538,0,0
"34",2008,"WR08-06",2005,0.692962500200824,0,0.307037499799176,0,0
"35",2008,"WR08-07",2005,0,0,0.0994718787038516,0.900528121296148,0
"36",2008,"WR08-08",2005,0.27912803470426,0.278055916141559,0.442816049154181,0,0
"37",2008,"WR08-09",2005,0.30190100378114,0,0.411366218933928,0.286732777284932,0
"38",2008,"WR08-10",2005,0.27984233411913,0,0.72015766588087,0,0
"39",2008,"WR08-11",2005,0.815899142649795,0,0.184100857350204,0,0
"40",2008,"WR08-12",2005,0.318204742180042,0,0.681795257819958,0,0
"41",2008,"WR08-13",2005,0.931181286018233,0,0.0688187139817668,0,0
"42",2008,"WR08-14",2005,0.768721882387765,0,0.231278117612235,0,0
"43",2008,"WR08-15",2005,0,0,0.331503792971547,0.668496207028453,0
"44",2008,"WR08-16",2005,0.326382157151053,0,0.673617842848947,0,0
"45",2008,"WR08-17",2005,0.27063187888073,0,0.72936812111927,0,0
"46",2008,"WR08-18",2005,0,0,0.158993312264803,0.841006687735197,0
"47",2008,"WR08-19",2005,0,0,0.255679213940977,0.744320786059023,0
"48",2008,"WR08-20",2005,0,0,1,0,0
"49",2008,"WR08-21",2005,0.274804101716803,0.629405892512778,0.0957900057704193,0,0
"50",2008,"WR08-22",2005,0.430441757106193,0.195094903466199,0.374463339427609,0,0
"51",2008,"WR08-23",2005,0.543019234715505,0,0.146474341037065,0.31050642424743,0
"52",2008,"WR08-24",2005,0.286752352826259,0,0.459631862010574,0,0.253615785163168
"53",2008,"WR08-25",2005,0.275373056698656,0,0.724626943301344,0,0
"54",2008,"WR08-26",2005,0.307366966343887,0,0.692633033656113,0,0
"55",2008,"WR08-27",2005,0,0.391639243089297,0.608360756910703,0,0
"56",2008,"WR08-28",2005,0.7240436365327,0,0.2759563634673,0,0
"57",2008,"WR08-29",2005,0.651465827126455,0,0.348534172873545,0,0
"58",2008,"WR08-30",2005,0.149223783026181,0,0.850776216973819,0,0
"59",2008,"WR08-31",2005,0.470319376968915,0,0.529680623031085,0,0
"60",2008,"WR08-32",2005,0.3233201597074,0,0.6766798402926,0,0
"61",2008,"WR08-33",2005,0,0.506263436804714,0.493736563195286,0,0
"62",2008,"WR08-34",2005,0.291175235165428,0.208169546384978,0.500655218449594,0,0
"63",2008,"WR08-35",2005,0,0.116253138766348,0.883746861233652,0,0
"64",2008,"WR08-36",2005,0.234999148693559,0.602200675126903,0.162800176179538,0,0
"65",2008,"WR08-37",2005,0.226350341984043,0,0.773649658015957,0,0
"66",2008,"WR08-39",2005,0,0.0820673723814373,0.917932627618563,0,0
"67",2008,"WR08-40",2005,0.239885504402907,0,0.760114495597093,0,0
"68",2008,"WR08-41",2005,0.61544070950859,0,0.38455929049141,0,0
"69",2008,"WR08-42",2005,0,0,0.0748941304833614,0.925105869516639,0
"70",2008,"WR08-43",2005,0,0,0.120530554379548,0.879469445620452,0
