"","BY","mean_max_daily_temp_AugtoJan","median_max_daily_temp_AugtoJan","sd_max_daily_temp_AugtoJan","mean_mean_daily_flow_AugtoJan","median_mean_daily_flow_AugtoJan","sd_mean_daily_flow_AugtoJan"
"1",2004,14.0126582278481,13.75,4.41946669661033,260.294921252122,211.810015560002,152.477169530032
"2",2005,15.0815217391304,15,4.46619186811354,326.673304121905,208.411993920002,243.858885533986
"3",2006,14.0646739130435,14.1,4.48055933059079,228.975565094676,228.233786820002,65.3869809932265
"4",2011,14.3592391304348,13.25,4.85840171017968,216.02676342848,207.279320040002,59.2234966025781
"5",2012,14.5316384180791,15.3,5.07096392624153,261.335257587557,198.076344765002,157.663906418269
"6",2013,14.4891304347826,14.35,4.88483672611657,146.238047246088,132.239675490001,33.3186672948677
"7",2014,16.8233695652174,16.5,4.90524950812822,206.926898411578,142.433740410001,160.402805011503
"8",2015,15.9320652173913,16.25,5.76367028594821,209.361531669948,155.601074265001,163.478941790992
