"Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"WR08-94",2005,NA,0,0,0,138,"DEL"
"WR08-95",2005,NA,0,0,0,121,"DEL"
"WR08-96",2005,NA,0,0,0,0,"SAC"
"WR09-01",2006,850,0,221,0,0,"AME"
"WR09-02",2006,840,0,0,0,0,"SAC"
"WR09-03",2006,780,0,0,0,0,"SAC"
"WR09-04",2006,840,0,0,0,0,"SAC"
"WR09-05",2006,850,0,0,0,0,"SAC"
"WR09-06",2006,750,0,0,0,0,"SAC"
"WR09-07",2006,900,53,0,0,0,"LAS"
"WR09-08",2006,730,0,0,0,0,"SAC"
"WR09-09",2006,690,0,0,0,0,"SAC"
"WR09-10",2006,770,0,214,0,0,"AME"
"WR09-11",2006,820,0,0,0,0,"SAC"
"WR09-12",2006,840,72,0,0,0,"LAS"
"WR09-13",2006,850,0,0,0,0,"SAC"
"WR09-14",2006,880,0,0,0,0,"SAC"
"WR09-15",2006,830,0,0,0,0,"SAC"
"WR09-16",2006,780,0,0,0,187,"DEL"
"WR09-17",2006,800,0,0,0,0,"SAC"
"WR09-18",2006,730,0,0,0,159,"DEL"
"WR09-19",2006,770,0,0,0,0,"SAC"
"WR09-20",2006,850,0,0,0,201,"DEL"
"WR09-21",2006,750,0,0,0,0,"SAC"
"WR09-22",2006,780,0,222,0,0,"AME"
"WR09-23",2006,740,0,0,0,0,"SAC"
"WR09-24",2006,860,0,0,0,0,"SAC"
"WR09-27",2006,810,0,0,0,0,"SAC"
"WR09-28",2006,920,0,0,0,0,"SAC"
"WR09-29",2006,870,0,0,0,0,"SAC"
"WR09-30",2006,870,0,185,0,0,"AME"
"WR09-31",2006,800,0,0,0,0,"SAC"
"WR09-32",2006,900,0,0,0,0,"SAC"
"WR09-33",2006,840,0,0,0,0,"SAC"
"WR09-34",2006,750,0,0,0,204,"DEL"
"WR09-35",2006,900,0,0,0,0,"SAC"
"WR09-36",2006,880,0,0,0,0,"SAC"
"WR09-37",2006,710,0,0,0,0,"SAC"
"WR09-38",2006,810,0,0,0,0,"SAC"
"WR09-39",2006,800,0,0,0,0,"SAC"
"WR09-40",2006,740,0,0,0,0,"SAC"
"WR09-41",2006,780,56,0,0,0,"LAS"
"WR09-42",2006,850,0,0,0,176,"DEL"
"WR09-43",2006,740,0,0,0,202,"DEL"
"WR09-44",2006,710,0,0,0,0,"SAC"
"WR09-45",2006,830,0,226,0,0,"AME"
"WR09-46",2006,770,0,0,0,0,"SAC"
"WR09-47",2006,750,0,0,0,0,"SAC"
"WR09-48",2006,780,0,0,0,0,"SAC"
"WR09-49",2006,760,0,0,0,0,"SAC"
"WR09-50",2006,760,0,181,0,0,"AME"
"WR09-51",2006,930,0,0,0,135,"DEL"
"WR09-52",2006,790,0,0,0,0,"SAC"
"WR09-54",2006,770,0,211,0,0,"AME"
"WR09-55",2006,730,0,0,41,0,"X"
"WR09-56",2006,800,0,291,0,0,"AME"
"WR09-57",2006,880,0,0,0,0,"SAC"
"WR09-58",2006,770,0,0,0,0,"SAC"
"WR09-59",2006,850,111,0,0,0,"LAS"
"WR09-60",2006,760,0,0,0,121,"DEL"
"WR09-63",2006,820,0,275.21,0,0,"AME"
"WR09-64",2006,890,0,202.59,0,0,"AME"
"WR09-65",2006,780,0,0,0,0,"SAC"
"WR09-66",2006,910,0,0,0,223,"DEL"
"WR09-67",2006,760,107,55,0,0,"LAS"
"WR09-68",2006,750,0,205,0,0,"AME"
"WR09-69",2006,860,55,0,0,0,"LAS"
"WR09-70",2006,810,0,105,0,0,"AME"
"WR09-71",2006,800,0,0,0,0,"SAC"
"WR09-72",2006,840,112,0,0,0,"LAS"
"WR15-5003",2012,781,0,0,0,307.703,"DEL"
"WR15-5004",2012,660,0,0,0,206.938,"DEL"
"WR15-5006",2012,774,0,0,0,0,"SAC"
"WR15-5007",2012,918,0,0,0,0,"SAC"
"WR15-5008",2012,845,0,0,0,0,"SAC"
"WR15-5011",2012,631,0,0,0,0,"SAC"
"WR15-5015",2012,770,0,248.529,0,0,"AME"
"WR15-5016",2012,733,0,0,0,167.376,"DEL"
"WR15-5019",2012,810,0,0,0,0,"SAC"
"WR15-5021",2012,900,0,206.939,0,0,"AME"
"WR15-5023",2012,752,0,0,0,0,"SAC"
"WR15-5025",2012,754,0,0,0,0,"SAC"
"WR15-5027",2012,719,0,0,0,0,"SAC"
"WR15-5028",2012,745,0,0,0,0,"SAC"
"WR15-5029",2012,740,0,0,0,0,"SAC"
"WR15-5030",2012,731,0,0,0,0,"SAC"
"WR15-5038",2012,835,0,0,0,0,"SAC"
"WR15-5040",2012,763,0,0,0,203.46,"DEL"
"WR15-5046",2012,812,0,0,0,0,"SAC"
"WR15-5048",2012,698,0,0,0,0,"SAC"
"WR15-5054",2012,901,0,0,0,0,"SAC"
"WR15-5060",2012,755,0,0,0,0,"SAC"
