"","Sample_ID","FWDist_8786","FWDist_SrV","FWExit_dist"
"107","WR08-84",603.2856,619.013006993007,603.2856
"108","WR08-86",689.336,672.649503370019,689.336
"109","WR08-87",615.5236,623.538869557837,615.5236
"110","WR08-88",614.7638,600.946011127696,614.7638
"111","WR08-89",614.6872,675.146055268721,614.6872
"112","WR08-90",486.94,684.1703160612,684.1703160612
"113","WR08-91",460.1852,657.549433962264,657.549433962264
"114","WR08-93",471.5767,765.890470339015,720
"115","WR08-94",623.8328,631.830830121027,623.8328
"116","WR08-95",644.6234,676.372322159971,644.6234
"117","WR08-96",539.702,450.870845290471,539.702
"118","WR09-01",441.0818,705.845586141433,705.845586141433
"119","WR09-02",664.2835,660.871132732384,664.2835
"120","WR09-03",700.8149,678.718391098456,700.8149
"121","WR09-04",590.4273,528.509679854561,590.4273
"122","WR09-05",521.5917,565.088169009078,521.5917
"123","WR09-06",528.9202,520.498895035097,528.9202
"124","WR09-07",641.9641,622.421027900856,641.9641
"125","WR09-08",638.7051,641.170571094101,638.7051
"126","WR09-09",673.4416,669.214145466115,673.4416
"127","WR09-10",371.2438,577.332837178067,577.332837178067
"128","WR09-11",552.3792,558.450011996269,552.3792
"129","WR09-12",647.0928,645.884199857947,647.0928
"130","WR09-13",633.2047,593.780160573291,633.2047
"131","WR09-14",589.3241,651.984514599108,589.3241
"132","WR09-15",629.6612,620.512190749725,629.6612
"133","WR09-16",624.3807,652.872335760482,624.3807
"134","WR09-17",597.5849,591.899473652997,597.5849
"135","WR09-18",560.0501,580.327699026775,560.0501
"136","WR09-19",578.6521,561.961860546605,578.6521
"137","WR09-20",587.6895,584.371697776679,587.6895
"138","WR09-21",617.1467,612.267103164985,617.1467
"139","WR09-22",421.4162,606.122212239621,606.122212239621
"140","WR09-23",557.8244,448.804093604809,557.8244
"141","WR09-24",598.7292,460.130728251091,598.7292
"142","WR09-27",678.7615,659.208229998097,678.7615
"143","WR09-28",612.8065,627.064232398281,612.8065
"144","WR09-29",616.2176,632.321555989735,616.2176
"145","WR09-30",464.7073,620.995716454749,620.995716454749
"146","WR09-31",633.3172,638.836555807612,633.3172
"147","WR09-32",611.0147,594.971903004205,611.0147
"148","WR09-33",655.9161,641.072476197652,655.9161
