"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"98","WR08-73",2005,NA,NA,158,NA,NA,"AME"
"99","WR08-74",2005,NA,NA,NA,NA,NA,"SAC"
"100","WR08-75",2005,NA,NA,NA,NA,NA,"SAC"
"101","WR08-76",2005,NA,NA,NA,NA,NA,"SAC"
"102","WR08-77",2005,NA,NA,NA,NA,189,"DEL"
"103","WR08-78",2005,NA,NA,NA,NA,235,"DEL"
"104","WR08-79",2005,NA,NA,276,NA,NA,"AME"
"105","WR08-80",2005,NA,NA,325,NA,NA,"AME"
"106","WR08-81",2005,NA,NA,NA,NA,129,"DEL"
"107","WR08-82",2005,NA,NA,283,NA,NA,"AME"
"108","WR08-83",2005,NA,NA,NA,NA,NA,"SAC"
"109","WR08-84",2005,NA,NA,NA,NA,156,"DEL"
"110","WR08-86",2005,NA,NA,NA,NA,NA,"SAC"
"111","WR08-87",2005,NA,NA,NA,NA,NA,"SAC"
"112","WR08-88",2005,NA,NA,NA,NA,NA,"SAC"
"113","WR08-89",2005,NA,NA,NA,NA,NA,"SAC"
"114","WR08-90",2005,NA,NA,238,NA,NA,"AME"
"115","WR08-91",2005,NA,NA,219,NA,NA,"AME"
"116","WR08-93",2005,NA,NA,280.99,NA,NA,"AME"
"117","WR08-94",2005,NA,NA,NA,NA,138,"DEL"
"118","WR08-95",2005,NA,NA,NA,NA,121,"DEL"
"119","WR08-96",2005,NA,NA,NA,NA,NA,"SAC"
"120","WR09-01",2006,850,NA,282,NA,NA,"AME"
"121","WR09-02",2006,840,NA,NA,NA,NA,"SAC"
"122","WR09-03",2006,780,NA,NA,NA,NA,"SAC"
"123","WR09-04",2006,840,NA,NA,NA,NA,"SAC"
"124","WR09-05",2006,850,NA,NA,NA,NA,"SAC"
"125","WR09-06",2006,750,NA,NA,NA,NA,"SAC"
"126","WR09-07",2006,900,53,NA,NA,NA,"LAS"
"127","WR09-08",2006,730,NA,NA,NA,NA,"SAC"
"128","WR09-09",2006,690,NA,NA,NA,NA,"SAC"
"129","WR09-10",2006,770,NA,214,NA,NA,"AME"
"130","WR09-11",2006,820,NA,NA,NA,NA,"SAC"
"131","WR09-12",2006,840,72,NA,NA,NA,"LAS"
"132","WR09-13",2006,850,NA,NA,NA,NA,"SAC"
"133","WR09-14",2006,880,NA,NA,NA,NA,"SAC"
"134","WR09-15",2006,830,NA,NA,NA,NA,"SAC"
"135","WR09-16",2006,780,NA,NA,NA,187,"DEL"
"136","WR09-17",2006,800,NA,NA,NA,NA,"SAC"
"137","WR09-18",2006,730,NA,NA,NA,159,"DEL"
"138","WR09-19",2006,770,NA,NA,NA,NA,"SAC"
"139","WR09-20",2006,850,NA,NA,NA,201,"DEL"
"140","WR09-21",2006,750,NA,NA,NA,NA,"SAC"
"141","WR09-22",2006,780,NA,222,NA,NA,"AME"
"142","WR09-23",2006,740,NA,NA,NA,NA,"SAC"
"143","WR09-24",2006,860,NA,NA,NA,NA,"SAC"
"144","WR09-27",2006,810,NA,NA,NA,NA,"SAC"
"145","WR09-28",2006,920,NA,NA,NA,NA,"SAC"
"146","WR09-29",2006,870,NA,NA,NA,NA,"SAC"
"147","WR09-30",2006,870,NA,185,NA,NA,"AME"
"148","WR09-31",2006,800,NA,NA,NA,NA,"SAC"
"149","WR09-32",2006,900,NA,NA,NA,NA,"SAC"
"150","WR09-33",2006,840,NA,NA,NA,NA,"SAC"
"151","WR09-34",2006,750,NA,NA,NA,204,"DEL"
"152","WR09-35",2006,900,NA,NA,NA,NA,"SAC"
"153","WR09-36",2006,880,NA,NA,NA,NA,"SAC"
"154","WR09-37",2006,710,NA,NA,NA,NA,"SAC"
"155","WR09-38",2006,810,NA,NA,NA,NA,"SAC"
"156","WR09-39",2006,800,NA,NA,NA,NA,"SAC"
"157","WR09-40",2006,740,NA,NA,NA,NA,"SAC"
"158","WR09-41",2006,780,56,NA,NA,NA,"LAS"
"159","WR09-42",2006,850,NA,NA,NA,176,"DEL"
"160","WR09-43",2006,740,NA,NA,NA,202,"DEL"
"161","WR09-44",2006,710,NA,NA,NA,NA,"SAC"
"162","WR09-45",2006,830,NA,226,NA,NA,"AME"
"163","WR09-46",2006,770,NA,NA,NA,NA,"SAC"
"164","WR09-47",2006,750,NA,NA,NA,NA,"SAC"
"165","WR09-48",2006,780,NA,NA,NA,NA,"SAC"
"166","WR09-49",2006,760,NA,NA,NA,NA,"SAC"
"167","WR09-50",2006,760,NA,181,NA,NA,"AME"
"168","WR09-51",2006,930,NA,NA,NA,135,"DEL"
"169","WR09-52",2006,790,NA,NA,NA,NA,"SAC"
"170","WR09-54",2006,770,NA,211,NA,NA,"AME"
"171","WR09-55",2006,730,NA,NA,NA,153,"DEL"
"172","WR09-56",2006,800,NA,291,NA,NA,"AME"
"173","WR09-57",2006,880,NA,NA,NA,NA,"SAC"
"174","WR09-58",2006,770,NA,NA,NA,NA,"SAC"
"175","WR09-59",2006,850,111,NA,NA,NA,"LAS"
"176","WR09-60",2006,760,NA,NA,NA,121,"DEL"
"177","WR09-63",2006,820,NA,275.21,NA,NA,"AME"
"178","WR09-64",2006,890,NA,236.81,NA,NA,"AME"
"179","WR09-65",2006,780,NA,NA,NA,NA,"SAC"
"180","WR09-66",2006,910,NA,NA,NA,223,"DEL"
"181","WR09-67",2006,760,107,55,NA,NA,"LAS"
"182","WR09-68",2006,750,NA,205,NA,NA,"AME"
"183","WR09-69",2006,860,55,NA,NA,NA,"LAS"
"184","WR09-70",2006,810,NA,105,NA,NA,"AME"
"185","WR09-71",2006,800,NA,NA,NA,NA,"SAC"
"186","WR09-72",2006,840,112,NA,NA,NA,"LAS"
"187","WR15-5003",2012,781,NA,NA,NA,307.703,"DEL"
"188","WR15-5004",2012,660,NA,NA,NA,206.938,"DEL"
"189","WR15-5006",2012,774,NA,NA,NA,NA,"SAC"
"190","WR15-5007",2012,918,NA,NA,NA,NA,"SAC"
"191","WR15-5008",2012,845,NA,NA,NA,NA,"SAC"
"192","WR15-5011",2012,631,NA,NA,NA,NA,"SAC"
"193","WR15-5015",2012,770,NA,248.529,NA,NA,"AME"
"194","WR15-5016",2012,733,NA,NA,NA,167.376,"DEL"
"195","WR15-5019",2012,810,NA,NA,NA,NA,"SAC"
