"","Sample_ID","Habitat","Escap_yr","Brood_year","fork_length","mass_change_sum","tot_mass_change","prop_fw_growth","prop_sac"
"1","WR07-01","DEL",2007,2004,NA,4.73347115276662,21.7170482876027,0.217961073258226,0.354218523503312
"2","WR07-01","LAS",2007,2004,NA,9.29099635555135,21.7170482876027,0.427820403238462,0.354218523503312
"3","WR07-01","SAC",2007,2004,NA,7.69258077928477,21.7170482876027,0.354218523503312,0.354218523503312
"4","WR07-02","AME",2007,2004,NA,25.6506035514012,34.232624898793,0.749302854433041,0.250697145566959
"5","WR07-02","SAC",2007,2004,NA,8.58202134739182,34.232624898793,0.250697145566959,0.250697145566959
"6","WR07-03","DEL",2007,2004,NA,8.19546892465094,10.6883506674439,0.766766471239933,0.233233528760067
"7","WR07-03","SAC",2007,2004,NA,2.49288174279296,10.6883506674439,0.233233528760067,0.233233528760067
"8","WR07-04","AME",2007,2004,NA,55.913119698628,73.7309342090574,0.758340041373833,0.241659958626167
"9","WR07-04","SAC",2007,2004,NA,17.8178145104294,73.7309342090574,0.241659958626167,0.241659958626167
"10","WR07-05","DEL",2007,2004,NA,5.30843938506918,17.0255367425769,0.311792777245843,0.575691491487163
"11","WR07-05","SAC",2007,2004,NA,9.80145664070358,17.0255367425769,0.575691491487163,0.575691491487163
"12","WR07-05","Unassigned",2007,2004,NA,1.91564071680411,17.0255367425769,0.112515731266994,0.575691491487163
"13","WR07-06","LAS",2007,2004,NA,2.66511226809094,18.4519167316581,0.144435524333274,0.855564475666726
"14","WR07-06","SAC",2007,2004,NA,15.7868044635671,18.4519167316581,0.855564475666726,0.855564475666726
"15","WR07-07","DEL",2007,2004,NA,6.07865351905758,11.4508314739518,0.530848221186837,0.267922715786149
"16","WR07-07","LAS",2007,2004,NA,2.30424008838357,11.4508314739518,0.201229063027014,0.267922715786149
"17","WR07-07","SAC",2007,2004,NA,3.06793786651068,11.4508314739518,0.267922715786149,0.267922715786149
"18","WR07-08","DEL",2007,2004,NA,4.83332859975521,15.5216792671991,0.311392119148419,0.393169381200613
"19","WR07-08","LAS",2007,2004,NA,4.58570163476485,15.5216792671991,0.295438499650968,0.393169381200613
"20","WR07-08","SAC",2007,2004,NA,6.10264903267905,15.5216792671991,0.393169381200613,0.393169381200613
"21","WR07-09","DEL",2007,2004,NA,3.31166782046995,21.763584552128,0.152165550327331,0.791577680742114
"22","WR07-09","SAC",2007,2004,NA,17.2275677844084,21.763584552128,0.791577680742114,0.791577680742114
"23","WR07-09","Unassigned",2007,2004,NA,1.22434894724966,21.763584552128,0.0562567689305548,0.791577680742114
"24","WR07-10","DEL",2007,2004,NA,5.90892235948102,23.4084184265921,0.252427235868633,0.747572764131367
"25","WR07-10","SAC",2007,2004,NA,17.4994960671111,23.4084184265921,0.747572764131367,0.747572764131367
"26","WR07-11","DEL",2007,2004,NA,5.08193713202156,15.5275081456291,0.327286070911005,0.549597383633886
"27","WR07-11","LAS",2007,2004,NA,1.91169316241592,15.5275081456291,0.123116545455109,0.549597383633886
"28","WR07-11","SAC",2007,2004,NA,8.53387785119159,15.5275081456291,0.549597383633886,0.549597383633886
"29","WR07-12","DEL",2007,2004,NA,2.7992047428952,17.2348781436706,0.162415116577032,0.50308357307356
"30","WR07-12","LAS",2007,2004,NA,5.09495619811621,17.2348781436706,0.295618927830209,0.50308357307356
"31","WR07-12","SAC",2007,2004,NA,8.67058407800521,17.2348781436706,0.50308357307356,0.50308357307356
"32","WR07-12","Unassigned",2007,2004,NA,0.670133124653993,17.2348781436706,0.0388823825191996,0.50308357307356
"33","WR07-13","DEL",2007,2004,NA,3.98499065744942,21.4156065266006,0.186078813714644,0.813921186285356
"34","WR07-13","SAC",2007,2004,NA,17.4306158691511,21.4156065266006,0.813921186285356,0.813921186285356
